Dataset,train_time,Test_Time,Recall,Precision,F1-Score
psm, 0:01:00.928755,00:02.6,0.2215,0.9915,0.362
msl,00:15.7,00:01.9,0.1784,0.9675,0.3013
smd,01:03.3,00:15.9,0.1984,0.9848,0.3303
swat,00:10.4,00:10.4,0.2108,0.9963,0.3479
smap,01:56.1,00:06.0,0.2063,0.9646,0.3399
kpi,00:29.5,00:03.0,0.2014,0.9816,0.3342
msl,unknown,0:00:02.390571,0.1962,0.9631,0.3259
msl,unknown,0:00:02.200308,0.1995,0.9678,0.3308
msl,unknown,0:00:02.175100,0.1837,0.9651,0.3086
msl,unknown,0:00:02.105171,0.1837,0.9651,0.3086
msl,unknown,0:00:01.641429,0.1837,0.9651,0.3086
msl,unknown,0:00:01.873539,0.1387,0.9657,0.2425
msl,unknown,0:00:01.867487,0.3841,0.9788,0.5517
msl,unknown,0:00:01.728063,0.3841,0.9788,0.5517
