Dataset,Precision,Recall,F1-Score,Threshold,Train_Time(seconds),Test_Time(seconds),
SMAP,0.1093,0.4228,0.1736,0.246032,472.15,7.08,
PSM,0.3412,0.5053,0.4074,0.088067,1.08,1.86,
SWAT,0.1744,0.5879,0.269,0.461912,4303.45,17.32,
MSL,0.1265,0.4438,0.1969,0.247144,586.21,3.47,
SMD,0.0752,0.4612,0.1294,0.180585,4112.9,18.77,windowsize=128
SMAP,0.0888,0.3955,0.145,0.247307,26.83,2.52,
PSM,0.313,0.5321,0.3942,0.121793,0.09,0.84,
SWAT,0.2021,0.6452,0.3078,0.462243,188.35,16.17,
MSL,0.0968,0.4625,0.1601,0.251845,34.44,1.72,
SMD,0.0384,0.4494,0.0707,0.179696,313.12,15.8,windowsize=12
kpi,0.0646,0.514,0.1147,0.251698,1222.29,15.28,
kpi,0.0792,0.6022,0.1399,0.039555,107.7,0.96,
kpi,0.024,0.5138,0.0459,0.012047,60.76,0.85,
kpi,0.2072,0.641,0.3132,0.073162,61.32,0.83,
